taxid	ppi_count_after
10243	39256
10244	34358
10245	19782
10255	31757
10258	32272
10279	33544
10298	16519
10310	16102
10325	15497
10335	11147
10359	21092
10368	8336
10372	6755
10376	15231
10407	3479
10566	2363
11020	1441
11021	1425
11029	1472
11033	1088
11034	1475
11036	1541
11039	1503
11041	319
11072	234
11079	245
11080	242
11082	246
11083	235
11084	279
11085	162
11086	152
11089	214
11137	1248
11216	1179
11234	1423
11250	1707
11292	3313
11320	2638
11520	1809
11552	728
11569	2256
11642	1125
11676	7079
11709	4097
11723	4259
11827	111
11983	742
12066	288
12092	532
12110	597
12455	649
12475	319
12538	2564
12542	165
12637	260
12721	2795
12730	1208
28300	652
28875	6940
28876	1483
33743	217
33758	249
35612	234
36427	1426
37124	1668
37296	18106
38766	2601
38767	3085
38837	158
40052	1946
40057	2523
40058	2600
40059	2366
44024	245
44025	247
44026	155
45617	111
46221	125
46839	1313
57282	686
57482	1413
57483	1486
59300	1866
59301	1802
59305	1697
59563	222
60875	1569
60876	1561
60877	1502
64285	257
64290	221
64292	196
64293	210
64295	179
64303	227
64305	248
64320	320
67605	13
68887	50
72149	385
72197	972
77763	861
90961	3008
93678	67
93830	860
95342	586
99000	18635
99182	522
108098	8070
118027	2787
129726	30750
129727	31700
129875	6781
129951	8878
130308	9249
130309	6078
130310	8138
136966	343
138948	599
138949	489
138950	496
138951	470
145856	154
147711	445
147712	446
162145	1710
164416	189
169066	215
186538	1482
186539	1547
186540	1444
186541	1367
192971	2044
194440	1835
194441	2510
194443	2486
204269	3089
211977	2974
237716	3183
249583	3041
249584	2334
272636	1695
277944	1223
290028	728
291484	577
318279	1449
329641	450
333754	6057
333757	3942
333766	4002
333767	4553
333924	3907
333926	3940
333928	3633
333929	3215
333930	3666
333931	3690
334203	3768
334204	3956
334205	3746
334207	3687
334208	3822
334209	3472
337039	4237
337041	4556
337042	4542
337043	4213
337044	3774
337048	4457
337049	3773
337050	4176
337051	3884
338079	1138
338478	1163
351073	1161
393049	170
432261	104
463676	426
565995	1743
642022	1434
645161	793
652810	2363
682382	392
683172	307
683174	381
687347	490
687350	120
687351	407
687355	119
687366	580
687367	506
688436	1856
694003	967
694009	2735
694448	60
742919	9
746543	2716
749224	52
931244	3859
1072176	2922
1146877	3458
1167696	1044
1172985	842
1175848	1705
1175849	1855
1175850	2036
1175851	1944
1175852	2098
1193974	300
1208309	1144
1231709	1168
1233383	142
1239565	542
1239570	582
1239572	750
1239573	773
1247113	381
1247114	301
1303334	1080
1330491	317
1330524	511
1335626	2132
1341019	213
1348384	901
1391667	394
1407638	109
1440170	1463
1455626	20
1459003	1159
1511891	2101
1511892	957
1513256	1809
1513257	2171
1513258	1761
1513259	1885
1513260	1969
1513261	1904
1513262	2011
1513263	1973
1513264	1832
1513265	1882
1518574	441
1525173	131
1547495	208
1572667	16
1582094	155
1595998	24
1609138	302
1647924	1946
1678143	1101
1714619	828
1780507	11326
1803956	197
1803957	326
1803958	96
1805494	180
1820160	19
1821749	331
1821750	273
1848960	742
1851215	1778
1851219	1899
1862824	211
1868658	441
1883111	462
1891726	1164
1891727	1456
1891728	1422
1891745	1521
1891762	2928
1891763	2616
1891764	907
1891765	848
1891767	2839
1897087	1366
1904876	63
1904885	4483
1906670	210
1907210	5925
1914415	34
1930509	72
1933180	946
1933189	1261
1933190	727
1933191	1262
1938392	723
1954248	25
1955166	337
1960046	118
1961678	1673
1961679	1884
1961680	1799
1961681	1947
1961682	1846
1961683	1711
1961783	2080
1962300	3750
1965018	21
1972568	930
1972572	1938
1972573	2137
1972575	1830
1972576	2071
1972577	1689
1972578	2094
1972579	1484
1980456	1304
1983771	12
1983780	23
1986022	4133
1987017	908
1987018	2100
1987019	2383
2003649	546
2003650	284
2003651	270
2003652	294
2015370	3257
2017080	31
2017081	38
2017082	8
2017083	24
2021738	64
2025360	16105
2025396	370
2030127	465
2049444	1870
2050578	2293
2050976	209
2055263	64
2057509	95
2057932	21
2057933	55
2060135	2473
2060136	2448
2060137	2625
2060138	2183
2060139	2330
2060140	2262
2083198	1513
2083199	1538
2169701	1192
2169902	1901
2169934	20
2169935	21
2169936	46
2169991	983
2170113	24
2170194	1146
2170195	1181
2170196	1101
2170197	1231
2170198	1229
2170199	1034
2170203	1201
2184748	95
2200830	20539
2200956	2662
2200957	2628
2200958	2632
2200959	2462
2202563	30
2202565	66
2219998	215
2259728	874
2304647	189
2461378	4131
2560319	1875
2560525	1115
2560526	873
2560580	1578
2560602	1212
2560702	167
2583509	49
2602439	18399
2609450	528
2713662	108
2714898	49
2714899	24
2732654	82
2732655	98
2734294	1242
2734339	886
2734436	665
2734523	136
2747210	853
2748252	412
2748253	394
2748378	30
2748762	1273
2748958	1560
2749445	13
2749446	13
2749447	13
2749448	382
2749449	393
2749450	377
2778524	72
2795181	455
2805939	237
2809802	92
2844074	621
2844075	372
2844078	288
2844554	66
2844581	76
2844582	265
2844583	37
2844584	104
2844585	94
2844646	256
2844800	248
2844802	149
2844803	330
2844804	161
2844805	289
2845010	43
2845897	29
2845899	34
2845900	29
2846071	332
2853105	44
2853106	1939
2853118	113
2853119	239
2853120	161
2927897	1715
2944249	1847
2951618	1459
2951619	1529
2955291	3120
2955292	527
2955297	1260
2955465	2293
2955745	986
2955746	1158
2955935	926
2956142	1042
2956252	123
2956523	1115
2956528	1146
2971765	1451
3003858	1573
3003859	1813
3003860	1451
3014888	109
3025750	15
3026463	1839
3043599	5188
3046277	210
3047375	227
3047384	1347
3047385	221
3047395	158
3047696	179
3047743	253
3047790	113
3047817	118
3047837	174
3047956	19
3047957	37
3047958	17
3047959	22
3047960	13
3047961	9
3047962	8
3047963	6
3047964	12
3047965	13
3047966	4
3047967	20
3048148	1642
3048158	216
3048165	150
3048168	214
3048169	249
3048170	165
3048175	162
3048183	672
3048184	156
3048198	106
3048205	77
3048215	253
3048225	196
3048233	165
3048279	125
3048287	186
3048300	112
3048305	172
3048308	123
3048314	123
3048316	155
3048360	213
3048380	87
3048381	163
3048382	213
3048383	238
3048384	148
3048385	102
3048386	338
3048387	104
3048388	36
3048389	61
3048390	416
3048391	144
3048392	297
3048393	138
3048394	192
3048395	37
3048396	59
3048397	173
3048398	86
3048400	33
3048401	39
3048402	58
3048403	26
3048404	46
3048405	113
3048406	60
3048407	29
3048413	290
3048414	638
3048415	337
3048417	199
3048420	153
3048422	522
3048423	48
3048424	383
3048425	141
3048427	117
3048428	645
3048430	261
3048431	589
3048432	252
3048433	125
3048440	145
3048443	252
3048447	179
3048448	252
3048459	248
3049952	1161
3049953	1366
3049954	1891
3050248	1731
3050258	23025
3050292	18083
3050293	17292
3050294	11384
3050295	20472
3050296	8124
3050297	8336
3050298	6577
3050299	17915
3050300	18497
3050305	15448
3050336	15716
3050339	1715
3050355	13499
3050361	58
3051368	1504
3051373	1050
3051374	1149
3051375	1664
3051377	1297
3051989	845
3051991	780
3051992	680
3052004	24
3052013	36
3052014	57
3052040	968
3052041	470
3052121	17
3052189	1250
3052223	2694
3052225	2587
3052230	656
3052263	1592
3052299	861
3052302	960
3052303	994
3052305	776
3052307	814
3052310	959
3052314	972
3052317	1130
3052328	785
3052331	702
3052342	3243
3052345	1891
3052371	565
3052381	886
3052384	1109
3052385	497
3052387	979
3052388	448
3052389	817
3052390	968
3052396	804
3052397	990
3052399	482
3052402	289
3052406	663
3052407	665
3052409	699
3052412	455
3052413	812
3052414	496
3052418	812
3052420	658
3052426	954
3052428	1081
3052429	1137
3052437	1132
3052439	469
3052440	1150
3052444	851
3052446	473
3052456	773
3052458	2131
3052459	1595
3052460	1428
3052461	1847
3052462	1918
3052463	248
3052464	249
3052465	160
3052466	215
3052468	243
3052470	1733
3052474	1607
3052477	1731
3052480	1306
3052489	869
3052493	1871
3052498	1725
3052499	1835
3052503	1953
3052505	1898
3052514	811
3052518	914
3052522	504
3052523	680
3052536	479
3052537	508
3052555	1629
3052556	1125
3052557	1006
3052558	1399
3052560	1284
3052599	2517
3052600	2792
3052606	46
3052608	186
3052610	159
3052619	385
3052640	1578
3052641	813
3052643	642
3052647	730
3052660	706
3052662	861
3052664	654
3052665	768
3052666	805
3052676	1748
3052681	769
3052684	958
3052686	493
3052690	648
3052713	455
3052714	452
3052716	552
3052759	585
3052770	424
3052789	1602
3052801	676
3052808	321
3052811	625
3060057	761
3060463	484
3060506	507
3060740	1101
