taxid	ppi_count_before
10256	115712.0
10266	57255.0
10271	95275.0
10273	110499.0
10276	71518.0
10317	71537.0
10320	493.0
10326	70695.0
10331	61790.0
10334	59831.0
10345	70264.0
10353	68167.0
10366	90210.0
10371	73312.0
10381	61343.0
10385	59137.0
10397	81746.0
10398	62021.0
10406	8492.0
10497	65442.0
10537	16258.0
10561	10317.0
10564	8160.0
10565	10352.0
10567	10815.0
10570	13308.0
10623	12335.0
10986	5271.0
10987	4471.0
10989	4431.0
10990	4170.0
10991	7039.0
10995	1097.0
11002	975.0
11023	8805.0
11024	12003.0
11240	9740.0
11241	9195.0
11246	12533.0
11263	9365.0
11307	4289.0
11318	10764.0
11636	7066.0
11657	3047.0
11660	8366.0
11665	3213.0
11673	5171.0
11746	5069.0
11757	4653.0
11768	4614.0
11786	7592.0
11809	8168.0
11840	4259.0
11855	4191.0
11856	3634.0
11864	4100.0
11901	7391.0
11970	6130.0
11976	860.0
11978	1094.0
12064	2357.0
12643	234570.0
12657	76596.0
12804	3721.0
28295	3529.0
28304	89362.0
28871	116498.0
28873	115703.0
28874	118110.0
33706	73159.0
33708	70118.0
33724	3508.0
33756	819.0
35243	66761.0
35244	2927.0
35246	49731.0
35252	63723.0
35258	13069.0
35269	7380.0
35279	584.0
36370	3258.0
38170	11807.0
38525	9647.0
38804	124995.0
39637	70974.0
39720	5560.0
40004	636.0
40012	712.0
40050	5349.0
40051	5324.0
40053	12165.0
40054	5390.0
40056	5828.0
40060	6025.0
40061	5687.0
40062	5140.0
40065	7423.0
40067	7602.0
40537	9946.0
42475	3500.0
44158	6232.0
45455	91005.0
47000	878.0
47418	43361.0
47929	115056.0
48543	12387.0
48544	5362.0
48981	685.0
50292	120424.0
53182	481.0
55744	66116.0
55987	3917.0
56094	7104.0
56144	10368.0
57747	7281.0
59302	11537.0
59304	8559.0
59380	4264.0
59509	60374.0
59816	1007.0
60879	5845.0
62352	5635.0
64280	818.0
64283	853.0
64284	707.0
64288	1348.0
64291	1062.0
64294	911.0
64296	693.0
64297	762.0
64299	725.0
64300	449.0
64307	833.0
64309	665.0
64310	777.0
64311	1126.0
64312	707.0
64319	1085.0
64894	625.0
70796	915.0
74501	2230.0
75888	4348.0
77698	3267.0
79891	56094.0
80341	68880.0
82676	9557.0
84589	1756.0
85708	679.0
104395	568.0
104580	5395.0
104581	6621.0
106331	67277.0
106966	1113.0
109270	11022.0
114424	14442.0
118140	738.0
122291	12505.0
129728	83733.0
129950	16479.0
129952	5143.0
129953	19066.0
129954	16027.0
129955	15367.0
129956	14941.0
130327	10116.0
130499	11519.0
133704	766.0
137443	77876.0
138184	70040.0
144752	1882.0
152177	5266.0
154334	84689.0
170325	44690.0
181667	12844.0
183405	6130.0
183407	4201.0
185782	8791.0
185954	4671.0
186805	57534.0
188763	114604.0
194965	1590.0
195059	4752.0
195060	4726.0
201490	5583.0
202910	56636.0
205895	3820.0
205896	4340.0
205899	3198.0
205908	5029.0
205910	4528.0
207343	5653.0
209854	5278.0
219584	4799.0
226613	6044.0
237020	2554.0
240426	89567.0
242710	17538.0
246280	5851.0
273810	6276.0
279896	6725.0
306276	8542.0
310907	2060.0
311228	5295.0
311229	7380.0
312185	1864.0
329862	2217.0
332097	9358.0
333919	11881.0
334212	11758.0
335100	6855.0
337052	12655.0
338781	5647.0
340907	74004.0
341721	3277.0
348823	6407.0
356862	5440.0
365327	47892.0
369960	10712.0
381543	5614.0
390157	608.0
394239	5318.0
405554	1922.0
488317	4680.0
519014	8598.0
519497	3960.0
574549	5427.0
686984	768.0
686985	643.0
691956	568.0
693066	714.0
693997	7802.0
693998	3981.0
693999	4843.0
694000	3660.0
694001	4311.0
694005	5168.0
694006	5017.0
694007	4648.0
694008	5835.0
694014	4144.0
694015	7480.0
696863	5285.0
698672	5346.0
745716	4537.0
948741	4477.0
1002359	5215.0
1002360	5054.0
1094373	5526.0
1146873	13299.0
1155188	742.0
1157337	4248.0
1159195	4915.0
1159902	5254.0
1159904	4811.0
1159907	3379.0
1159908	4926.0
1170234	417.0
1231903	2930.0
1239437	1698.0
1239438	1661.0
1239439	1697.0
1239566	2021.0
1239567	100.0
1239569	1772.0
1239574	2002.0
1239577	1883.0
1244203	5188.0
1256869	5228.0
1297661	3587.0
1298633	811.0
1300113	4839.0
1308859	4920.0
1330066	542.0
1330068	1634.0
1330520	932.0
1330521	1222.0
1431460	539.0
1481452	636.0
1511084	4091.0
1511772	502.0
1511776	712.0
1511779	1621.0
1511781	651.0
1511783	991.0
1511803	1064.0
1511805	2079.0
1548713	3189.0
1548720	2456.0
1548722	2863.0
1603962	687.0
1637496	4991.0
1658615	3791.0
1659771	1483.0
1678144	1923.0
1678145	4565.0
1678146	1841.0
1678147	1072.0
1679172	6981.0
1755588	751.0
1755590	1242.0
1821751	670.0
1881950	3524.0
1884453	4496.0
1884878	3080.0
1891729	7696.0
1891730	9887.0
1891754	9237.0
1891770	6215.0
1897731	781.0
1913642	4561.0
1913643	4557.0
1914568	478.0
1914574	485.0
1914575	492.0
1914576	466.0
1933178	2442.0
1933181	2463.0
1933185	3871.0
1933263	2486.0
1965074	1824.0
1965089	3725.0
1965093	6309.0
1972564	5961.0
1972565	4708.0
1972566	5678.0
1972567	5133.0
1972569	5311.0
1972570	5874.0
1972571	4538.0
1972574	9292.0
1972580	4243.0
1972581	4300.0
1972584	4914.0
1972586	5892.0
1972587	7164.0
1972588	4798.0
1972589	5378.0
1972592	4917.0
1972593	6676.0
1972594	5544.0
1972595	6650.0
1972596	7299.0
1972597	7782.0
1972612	5274.0
1972613	5549.0
1972614	5103.0
1972615	5985.0
1972616	4939.0
1972617	6604.0
1972618	5230.0
1972619	5471.0
1972620	5605.0
1972621	5622.0
1972622	5488.0
1972623	8271.0
1972624	6229.0
1972625	5997.0
1972626	5931.0
1972637	4477.0
1972639	5130.0
1972683	3044.0
1972686	3738.0
1978533	4570.0
1978534	5250.0
1978535	4909.0
1978536	5677.0
1978537	5898.0
1978538	5323.0
1978539	6840.0
1978540	9789.0
1978541	4881.0
1978542	5453.0
1978543	5677.0
1978544	5081.0
1978545	4828.0
1978546	5711.0
1980915	5191.0
1980916	5906.0
1980917	5769.0
1980918	5342.0
1985688	472.0
1985689	5691.0
1985690	4161.0
1985691	5597.0
1985693	9242.0
1985694	4496.0
1985695	4686.0
1985696	4224.0
1985697	4888.0
1985698	3035.0
1985699	5884.0
1985702	4791.0
1985703	5296.0
1985704	6350.0
1985706	5130.0
1985982	496.0
1985983	530.0
1986112	2484.0
1986113	2134.0
1986118	2668.0
1986958	735.0
1986959	831.0
1986960	468.0
1987013	4630.0
1987123	566.0
1987124	892.0
1987125	502.0
1987126	1141.0
1987127	487.0
1987128	524.0
1987129	486.0
1987130	531.0
2003391	598.0
2003499	698.0
2025079	665.0
2031165	497.0
2031166	1202.0
2040663	1019.0
2083444	7305.0
2169685	448.0
2169971	10275.0
2170004	1451.0
2170030	787.0
2170060	2242.0
2499620	7078.0
2499621	4917.0
2499622	3983.0
2499677	1469.0
2499678	3273.0
2499680	5272.0
2499685	5051.0
2499930	4330.0
2499932	3799.0
2501947	3365.0
2501948	3015.0
2501964	3429.0
2501965	4108.0
2501969	5045.0
2501999	3351.0
2502000	3731.0
2509284	2192.0
2560259	6120.0
2560260	5894.0
2560293	747.0
2560309	6541.0
2560310	6620.0
2560313	6413.0
2560315	7189.0
2560316	8007.0
2560317	5298.0
2560318	6111.0
2560320	7298.0
2560321	6396.0
2560326	7400.0
2560340	6967.0
2749935	5802.0
3051624	1308.0
3051976	784.0
3052026	2144.0
3052045	1933.0
3052148	8272.0
3052193	1795.0
3052202	819.0
3052205	16479.0
3052210	3184.0
3052211	3481.0
3052212	3693.0
3052221	3781.0
3052222	5409.0
3052224	5796.0
3052226	989.0
3052227	293.0
3052228	541.0
3052229	2226.0
3052231	505.0
3052232	484.0
3052233	486.0
3052234	853.0
3052235	738.0
3052236	1178.0
3052237	299.0
3052238	478.0
3052239	511.0
3052241	2171.0
3052242	2990.0
3052243	2294.0
3052269	1526.0
3052296	1849.0
3052298	1769.0
3052300	4256.0
3052304	2115.0
3052306	2088.0
3052308	1552.0
3052311	2118.0
3052313	2284.0
3052315	2305.0
3052316	2247.0
3052319	2130.0
3052320	2068.0
3052321	2364.0
3052322	2582.0
3052323	1532.0
3052324	1740.0
3052325	5195.0
3052327	2863.0
3052329	1805.0
3052330	2648.0
3052335	8343.0
3052337	7277.0
3052338	7195.0
3052343	7937.0
3052344	8663.0
3052372	626.0
3052374	2192.0
3052386	2353.0
3052393	2485.0
3052395	2507.0
3052401	5088.0
3052404	2383.0
3052405	2157.0
3052408	2669.0
3052416	5615.0
3052431	4862.0
3052441	2449.0
3052448	2744.0
3052449	2964.0
3052452	5833.0
3052471	7006.0
3052472	8936.0
3052473	8501.0
3052475	8613.0
3052476	10233.0
3052478	9415.0
3052479	8997.0
3052481	7873.0
3052482	7883.0
3052483	9430.0
3052484	9401.0
3052485	9982.0
3052486	9722.0
3052495	8836.0
3052496	17095.0
3052501	16368.0
3052510	4642.0
3052516	2405.0
3052519	2393.0
3052524	1919.0
3052525	2172.0
3052529	4031.0
3052534	2304.0
3052538	2938.0
3052559	7577.0
3052561	12973.0
3052562	7353.0
3052588	3859.0
3052593	7008.0
3052594	6213.0
3052595	6572.0
3052596	5899.0
3052598	6424.0
3052601	6892.0
3052602	12594.0
3052604	286.0
3052605	336.0
3052607	351.0
3052609	305.0
3052611	349.0
3052612	211.0
3052613	1077.0
3052614	386.0
3052616	574.0
3052618	650.0
3052620	683.0
3052622	613.0
3052625	640.0
3052626	660.0
3052627	2313.0
3052631	2202.0
3052633	2855.0
3052637	4184.0
3052679	4639.0
3052707	2918.0
3052717	5966.0
3052718	2484.0
3052720	2319.0
3052723	1655.0
3052724	1939.0
3052727	2126.0
3052729	6155.0
3052731	7615.0
3052733	6258.0
3052748	1604.0
3052762	7352.0
3052763	5276.0
3052764	4682.0
3052765	4862.0
3052767	5053.0
3052788	6311.0
3241440	17828.0
3241441	16543.0
